模型名称,输入 token,输出 token,最大并发,平均时延 (s),最大时延 (s),吞吐 (r/s),kv cache usage (%)
llama3.1-8b,3500,490 - 500,4,1.209226131439209,1.209226131439209,3.307900727582888,94
llama3.1-8b,3500,490 - 500,4,1.2127256393432617,1.2127256393432617,3.2983552670381044,93
llama3.1-8b,3500,490 - 500,4,1.2098605632781982,1.2098605632781982,3.306166116500014,94
llama3.1-8b,3500,490 - 500,4,1.214608907699585,1.214608907699585,3.293241120366737,94
llama3.1-8b,3500,490 - 500,4,1.2118487358093262,1.2118487358093262,3.300741983551786,94
llama3.1-8b,3500,490 - 500,4,1.2118151187896729,1.2118151187896729,3.3008335495888916,94
llama3.1-8b,3500,490 - 500,4,1.2130341529846191,1.2130341529846191,3.2975163890960277,94
llama3.1-8b,3500,490 - 500,4,1.2108707427978516,1.2108707427978516,3.3034079184682876,93
llama3.1-8b,3500,490 - 500,4,1.2504816055297852,1.2504816055297852,3.1987675646818814,93
llama3.1-8b,3500,490 - 500,4,1.2406682968139648,1.2406682968139648,3.224068842793837,94
llama3.1-8b,3500,490 - 500,4,1.2143595218658447,1.2143595218658447,3.2939174338206376,93
llama3.1-8b,3500,490 - 500,4,1.2203171253204346,1.2203171253204346,3.277836487748763,94
llama3.1-8b,3500,490 - 500,4,1.2131826877593994,1.2131826877593994,3.297112661067982,93
llama3.1-8b,3500,490 - 500,4,1.3228940963745117,1.3228940963745117,3.0236736341648913,94
llama3.1-8b,3500,490 - 500,4,1.2590537071228027,1.2590537071228027,3.176989176371852,93
llama3.1-8b,3500,490 - 500,4,1.2141757011413574,1.2141757011413574,3.294416118062562,94
llama3.1-8b,3500,490 - 500,4,1.2595465183258057,1.2595465183258057,3.17574614498305,94
llama3.1-8b,3500,490 - 500,4,1.211820363998413,1.211820363998413,3.300819262354992,93
llama3.1-8b,3500,490 - 500,4,1.2203190326690674,1.2203190326690674,3.2778313645172337,94
llama3.1-8b,3500,490 - 500,4,1.2107741832733154,1.2107741832733154,3.303671366023053,93
llama3.1-8b,3500,490 - 500,4,1.2113754749298096,1.2113754749298096,3.3020315193617167,94
llama3.1-8b,3500,490 - 500,4,1.210245132446289,1.210245132446289,3.3051155445795777,93
llama3.1-8b,3500,490 - 500,4,1.2528562545776367,1.2528562545776367,3.1927046581640615,94
llama3.1-8b,3500,490 - 500,4,1.2314300537109375,1.2314300537109375,3.248255950832063,93
llama3.1-8b,3500,490 - 500,4,1.2195897102355957,1.2195897102355957,3.2797915286012826,94
llama3.1-8b,3500,490 - 500,4,1.2797932624816895,1.2797932624816895,3.125504811803328,94
llama3.1-8b,3500,490 - 500,4,1.252016544342041,1.252016544342041,3.19484596116266,94
llama3.1-8b,3500,490 - 500,4,1.2940804958343506,1.2940804958343506,3.0909978265463494,93
llama3.1-8b,3500,490 - 500,4,1.2118825912475586,1.2118825912475586,3.3006497732443254,94
llama3.1-8b,3500,490 - 500,4,1.21303391456604,1.21303391456604,3.2975170372140754,93
llama3.1-8b,3500,490 - 500,4,1.2095105648040771,1.2095105648040771,3.3071228283549066,94
llama3.1-8b,3500,490 - 500,4,1.209850549697876,1.209850549697876,3.306193480673196,93
llama3.1-8b,3500,490 - 500,4,1.2710559368133545,1.2710559368133545,3.1469897462013674,93
llama3.1-8b,3500,490 - 500,4,1.21235990524292,1.21235990524292,3.2993502859190333,93
llama3.1-8b,3500,490 - 500,4,1.222660779953003,1.222660779953003,3.2715533740713867,94
llama3.1-8b,3500,490 - 500,4,1.210531234741211,1.210531234741211,3.304334398984034,94
llama3.1-8b,3500,490 - 500,4,1.2108395099639893,1.2108395099639893,3.303493127771294,94
llama3.1-8b,3500,490 - 500,4,1.2099454402923584,1.2099454402923584,3.3059341907462225,93
llama3.1-8b,3500,490 - 500,4,1.2099199295043945,1.2099199295043945,3.3060038953474167,93
llama3.1-8b,3500,490 - 500,4,1.2596616744995117,1.2596616744995117,3.175455823556177,93
llama3.1-8b,3500,490 - 500,4,1.2149038314819336,1.2149038314819336,3.292441670153283,94
llama3.1-8b,3500,490 - 500,4,1.2487409114837646,1.2487409114837646,3.203226516577539,94
llama3.1-8b,3500,490 - 500,4,1.212550401687622,1.212550401687622,3.2988319449919925,94
llama3.1-8b,3500,490 - 500,4,1.210500955581665,1.210500955581665,3.304417052754771,94
llama3.1-8b,3500,490 - 500,4,1.232670545578003,1.232670545578003,3.244987084626402,93
llama3.1-8b,3500,490 - 500,4,1.2153429985046387,1.2153429985046387,3.291251938688593,94
llama3.1-8b,3500,490 - 500,4,1.2199428081512451,1.2199428081512451,3.278842232007397,93
llama3.1-8b,3500,490 - 500,4,1.2284533977508545,1.2284533977508545,3.2561267747913782,93
llama3.1-8b,3500,490 - 500,4,1.2140154838562012,1.2140154838562012,3.2948508920943844,94
llama3.1-8b,3500,490 - 500,4,1.2211573123931885,1.2211573123931885,3.275581253459406,94
llama3.1-8b,3500,490 - 500,4,1.2555673122406006,1.2555673122406006,3.1858108768870945,94
llama3.1-8b,3500,490 - 500,4,1.211522102355957,1.211522102355957,3.301631882919426,94
llama3.1-8b,3500,490 - 500,4,1.2190172672271729,1.2190172672271729,3.281331698523488,94
llama3.1-8b,3500,490 - 500,4,1.263267993927002,1.263267993927002,3.166390678169228,93
llama3.1-8b,3500,490 - 500,4,1.2108395099639893,1.2108395099639893,3.303493127771294,93
llama3.1-8b,3500,490 - 500,4,1.211594820022583,1.211594820022583,3.301433725117316,94
llama3.1-8b,3500,490 - 500,4,1.2135827541351318,1.2135827541351318,3.2960257439144542,93
llama3.1-8b,3500,490 - 500,4,1.2507729530334473,1.2507729530334473,3.1980224630689107,93
llama3.1-8b,3500,490 - 500,4,1.2153127193450928,1.2153127193450928,3.2913339392642236,93
llama3.1-8b,3500,490 - 500,4,1.2208499908447266,1.2208499908447266,3.276405807426294,93
llama3.1-8b,3500,490 - 500,4,1.2234797477722168,1.2234797477722168,3.2693634751890523,93
llama3.1-8b,3500,490 - 500,4,1.261028528213501,1.261028528213501,3.172013884306646,94
llama3.1-8b,3500,490 - 500,4,1.2317805290222168,1.2317805290222168,3.2473317330118756,94
llama3.1-8b,3500,490 - 500,4,1.267399549484253,1.267399549484253,3.1560686617158207,93
llama3.1-8b,3500,490 - 500,4,1.2223706245422363,1.2223706245422363,3.2723299461633855,93
llama3.1-8b,3500,490 - 500,4,1.2327978610992432,1.2327978610992432,3.2446519630017354,93
llama3.1-8b,3500,490 - 500,4,1.2111866474151611,1.2111866474151611,3.302546315662041,94
llama3.1-8b,3500,490 - 500,4,1.2817771434783936,1.2817771434783936,3.1206672863155376,94
llama3.1-8b,3500,490 - 500,4,1.2157013416290283,1.2157013416290283,3.290281801153594,93
llama3.1-8b,3500,490 - 500,4,1.2231667041778564,1.2231667041778564,3.2702001994802288,93
llama3.1-8b,3500,490 - 500,4,1.2310316562652588,1.2310316562652588,3.2493071803980422,93
llama3.1-8b,3500,490 - 500,4,1.2134840488433838,1.2134840488433838,3.296293844004416,94
llama3.1-8b,3500,490 - 500,4,1.223257303237915,1.223257303237915,3.2699579960913816,93
llama3.1-8b,3500,490 - 500,4,1.2975387573242188,1.2975387573242188,3.082759553363007,94
llama3.1-8b,3500,490 - 500,4,1.2913744449615479,1.2913744449615479,3.0974749543840514,94
llama3.1-8b,3500,490 - 500,4,1.3251540660858154,1.3251540660858154,3.018516942573351,93
llama3.1-8b,3500,490 - 500,4,1.2197556495666504,1.2197556495666504,3.279345335617919,93
llama3.1-8b,3500,490 - 500,4,1.2325007915496826,1.2325007915496826,3.245434021158402,93
llama3.1-8b,3500,490 - 500,4,1.2132697105407715,1.2132697105407715,3.2968761729138887,93
llama3.1-8b,3500,490 - 500,4,1.2131249904632568,1.2131249904632568,3.297269474658598,93
llama3.1-8b,3500,490 - 500,4,1.2151439189910889,1.2151439189910889,3.2917911512252185,93
llama3.1-8b,3500,490 - 500,4,1.2165544033050537,1.2165544033050537,3.2879746184248457,94
llama3.1-8b,3500,490 - 500,4,1.219517707824707,1.219517707824707,3.2799851731016916,94
llama3.1-8b,3500,490 - 500,4,1.2158942222595215,1.2158942222595215,3.289759854740256,93
llama3.1-8b,3500,490 - 500,4,1.2232780456542969,1.2232780456542969,3.269902549310049,93
llama3.1-8b,3500,490 - 500,4,1.2203845977783203,1.2203845977783203,3.2776552631702334,94
llama3.1-8b,3500,490 - 500,4,1.2115600109100342,1.2115600109100342,3.3015285780152945,93
llama3.1-8b,3500,490 - 500,4,1.220918893814087,1.220918893814087,3.276220902360032,93
llama3.1-8b,3500,490 - 500,4,1.2122700214385986,1.2122700214385986,3.299594916364596,93
llama3.1-8b,3500,490 - 500,4,1.2151775360107422,1.2151775360107422,3.2917000861713097,94
llama3.1-8b,3500,490 - 500,4,1.2145187854766846,1.2145187854766846,3.2934854922231986,93
llama3.1-8b,3500,490 - 500,4,1.2121262550354004,1.2121262550354004,3.2999862707232417,94
llama3.1-8b,3500,490 - 500,4,1.2123711109161377,1.2123711109161377,3.299319790767176,94
llama3.1-8b,3500,490 - 500,4,1.2135956287384033,1.2135956287384033,3.2959907775526607,94
llama3.1-8b,3500,490 - 500,4,1.209911584854126,1.209911584854126,3.3060266965559,94
llama3.1-8b,3500,490 - 500,4,1.265296220779419,1.265296220779419,3.161315061492882,93
llama3.1-8b,3500,490 - 500,4,1.2121291160583496,1.2121291160583496,3.2999784816714586,93
llama3.1-8b,3500,490 - 500,4,1.2235584259033203,1.2235584259033203,3.2691532462349784,94
llama3.1-8b,3500,490 - 500,4,1.2175405025482178,1.2175405025482178,3.2853116521613126,93
llama3.1-8b,3500,490 - 500,4,1.213184118270874,1.213184118270874,3.2971087733172078,93
llama3.1-8b,3500,490 - 500,4,1.2212486267089844,1.2212486267089844,3.27533633407571,93
llama3.1-8b,3500,490 - 500,4,1.212594747543335,1.212594747543335,3.2987113032642017,94
llama3.1-8b,3500,490 - 500,4,1.213965654373169,1.213965654373169,3.2949861353906256,93
llama3.1-8b,3500,490 - 500,4,1.2114906311035156,1.2114906311035156,3.301717650392808,93
llama3.1-8b,3500,490 - 500,4,1.2146520614624023,1.2146520614624023,3.2931241191688487,93
llama3.1-8b,3500,490 - 500,4,1.225620985031128,1.225620985031128,3.263651690737336,93
llama3.1-8b,3500,490 - 500,4,1.2563228607177734,1.2563228607177734,3.1838949406004478,93
llama3.1-8b,3500,490 - 500,4,1.240408182144165,1.240408182144165,3.2247449328217224,94
llama3.1-8b,3500,490 - 500,4,1.235259771347046,1.235259771347046,3.2381852730766223,94
llama3.1-8b,3500,490 - 500,4,1.2128221988677979,1.2128221988677979,3.298092666620142,93
llama3.1-8b,3500,490 - 500,4,1.2114777565002441,1.2114777565002441,3.3017527383708045,94
llama3.1-8b,3500,490 - 500,4,1.2151398658752441,1.2151398658752441,3.291802131040174,93
llama3.1-8b,3500,490 - 500,4,1.2133126258850098,1.2133126258850098,3.2967595611084453,94
llama3.1-8b,3500,490 - 500,4,1.2207233905792236,1.2207233905792236,3.27674560090311,93
llama3.1-8b,3500,490 - 500,4,1.2653965950012207,1.2653965950012207,3.1610642985775863,93
llama3.1-8b,3500,490 - 500,4,1.2119321823120117,1.2119321823120117,3.300514713924975,94
llama3.1-8b,3500,490 - 500,4,1.2304892539978027,1.2304892539978027,3.2507394818802235,94
llama3.1-8b,3500,490 - 500,4,1.2118570804595947,1.2118570804595947,3.300719255180658,94
